"SampleID;x1;x2;y;RandomEffect1;RandomEffect2"
"1;0.8922;4.454545455;0.031528;TC1;2009"
"2;0.092611111;0;0.003711667;TC10;2009"
"3;0.332777778;7.2;0.005665556;TC11;2009"
"4;0.068677419;2;0.003217419;TC12;2009"
"5;0.21353125;4.833333333;0.060723939;TC13;2009"
"7;0.7806;3.904761905;0.005086571;TC15;2009"
"8;0.224;6.857142857;0.077235882;TC16;2009"
"9;0.213756098;2;0.00431725;TC17;2009"
"10;0.330911765;2.857142857;0.074403529;TC18;2009"
"11;0.29275;0;0.00756125;TC19;2009"
"12;0.59425;3.142857143;0.023036667;TC2;2009"
"13;0.09475;10.6;0.004705;TC20;2009"
"14;0.201;10.16666667;0.002733333;TC21;2009"
"15;0.207685714;4;0.034367143;TC3;2009"
"16;0.287972222;8;0.019875556;TC4;2009"
"17;0.19625;2.142857143;0.026793333;TC5;2009"
"18;0.242;3.5;0.019729167;TC6;2009"
"19;0.147055556;1;0.005330857;TC7;2009"
"20;0.039314286;1.857142857;0.00297;TC8;2009"
"21;0.343194444;6.6;0.010294722;TC9;2009"
"22;0.798482759;11.25;0.016273793;TC1;2010"
"23;0.08528125;0;0.004213438;TC10;2010"
"24;0.295066667;3.333333333;0.003266333;TC11;2010"
"25;0.054928571;5.5;0.002024643;TC12;2010"
"26;0.195935484;5;0.01168871;TC13;2010"
"27;0.203096774;1.75;0.002896774;TC14;2010"
"28;0.655451613;3.7;0.003535161;TC15;2010"
"29;0.20028125;3.166666667;0.013499063;TC16;2010"
"30;0.276485714;0;0.003900571;TC17;2010"
"31;0.301032258;8.75;0.024509355;TC18;2010"
"32;0.264322581;3.714285714;0.004665806;TC19;2010"
"33;0.588413793;6.857142857;0.008455172;TC2;2010"
"34;0.060266667;2.428571429;0.009532;TC20;2010"
"35;0.279074074;4;0.002816296;TC21;2010"
"36;0.177;15.5;0.012696129;TC3;2010"
"37;0.261233333;3;0.017647333;TC4;2010"
"38;0.156;4.857142857;0.010489032;TC5;2010"
"39;0.207387097;4.833333333;0.008421613;TC6;2010"
"40;0.108032258;6.75;0.003236129;TC7;2010"
"41;0.0266875;3;0.00178;TC8;2010"
"42;0.342133333;2.909090909;0.004269;TC9;2010"
"43;1.035694444;6.6;0.011439444;TC1;2011"
"44;0.114421053;84;0.003632632;TC10;2011"
"45;0.429789474;12;0.004521579;TC11;2011"
"46;0.047083333;38.25;0.003999167;TC12;2011"
"47;0.252485714;14.4;0.029710286;TC13;2011"
"48;0.189638889;7.166666667;0.0035475;TC14;2011"
