SampleID;x1;x2;y;RandomEffect
3000002;0.184922078;20.1;5.154056437;5
4000005;0.289019868;20;4.437554113;4
5000003;0.174516779;17.7;5.473449293;5
6000001;0.173154362;18.2;5.256236619;5
8000001;0.124462585;18.8;4.728874085;4
10000006;0.1303625;19;4.962910619;3
10000009;0.130113043;18.4;5.527777778;4
10000011;0.0795;19.8;4.220197249;2
10000013;0.122515152;16.5;4.039888198;4
10000014;0.145045455;18;5.124241158;4
11000016;0.114503451;18.3;4.775757576;4
13000011;0.169964706;20;4.786291368;2
14000016;0.113981982;18.5;5.200941652;5
15000032;0.172153846;20.9;4.465548964;4
15000033;0.077952381;13.6;6.12548197;2
15000034;0.063808219;15.5;6.244954298;2
15000046;0.099453333;20.2;5.119485294;2
15000073;0.139681034;16.2;5.186113505;4
16000024;0.123559701;15.6;5.254318594;2
16000070;0.102635841;14.3;4.740481185;3
17000007;0.170037041;17.4;5.74415179;3
18000077;0.116175575;19.1;5.816859414;3
19000012;0.118413046;19.6;6.046042189;4
19000015;0.081607915;13.6;5.101322751;1
20000026;0.090428575;18.2;6.139215686;
21000030;0.109718121;17.1;5.300955234;2
21000062;0.101159722;17.8;5.381029371;4
21000110;0.014117647;17.3;5.15;1
21000572;0.061911565;19;5.769230769;1
21000587;0.109818182;19.3;4.348717949;4
21000648;0.057239669;16.1;4.68872549;2
21000759;0.084578378;18.3;6.276309135;4
21000872;0.101257919;18.6;4.762297571;2
21000873;0.05670068;16.5;5.784469697;1
21000930;0.027666667;14.5;5.610326797;2
21001663;0.1;16.3;4.640612721;3
22000047;0.050113363;17.6;5.092982456;1
22000050;0.10225188;16.4;5.48757283;3
22000053;0.089022727;14.5;4.640836941;3
22000062;0.079507353;19.5;6.206521033;4
25000018;0.054475;20.2;5.941816898;4
25000021;0.049833333;16.2;5.433359342;3
25000097;0.06858209;18.6;6.33344131;5
25000592;0.037089744;14;5.531372549;1
25000707;0.04791791;15.4;5.146853147;3
25000727;0.078;17.4;6.497301201;4
25000728;0.072;15.7;6.60531717;5
26000082;0.148394089;19.5;5.675118067;4
28000001;0.123573222;17.2;6.223684211;4
30000013;0.092548613;20.1;4.568764569;2
31000032;0.05202817;16.4;5.481716594;2
32000001;0.114709302;17;6.131966856;4
33000004;0.10643956;17.2;5.219224525;3
34000019;0.102563953;19.7;5.748373664;5
35000011;0.065370788;15.3;5.094337607;2
35000013;0.062237411;16.4;5.289107726;2
37000011;0.119124294;17.8;4.529861111;3
41000016;0.13665641;18.4;5.186759768;4
42000012;0.073102414;18.3;5.956924244;1
44000021;0.117989529;19.2;5.549510518;4
44000021;0.117989529;19.2;5.549510518;4
45000003;0.136750791;18.7;5.490628979;5
45000005;0.136448087;18.5;4.763040861;4
46000017;0.123457286;19.7;4.949288663;2
46000020;0.119039604;16.2;4.816419093;3
47000001;0.12320892;18.5;5.395229427;4
48000007;0.283643617;20.1;4.758869396;3
48000010;0.225771277;23.6;4.211215255;4
49000061;0.127739316;18.9;3.960472244;3
49000082;0.301150327;18.8;4.181877069;3
49000092;0.261;18.6;3.826973027;4
50000056;0.252139785;20.3;4.332275132;4
50000057;0.232967742;20.5;4.380698006;4
50000058;0.059666667;15.1;5.188404528;1
51000002;0.1125;15;4.777719558;2
51000024;0.129719048;21;4.975923537;4
52000022;0.558067901;20;4.190705128;2
52000025;0.233801075;21.1;4.023809524;3
52000029;0.184802139;21;4.177777778;4
52000033;0.111359277;21.1;4.447313797;1
52000039;0.338532258;21.3;4.540350649;4
52000064;0.269489943;19;4.48525641;3
52000068;0.192196721;20;4.932291667;4
52000199;0.152891304;19.6;4.078910197;2
53000011;0.105282828;24;3.926282051;2
53000095;0.092372881;24.8;4.519047619;1
54000002;0.13997561;22.7;3.891371591;2
56000003;0.09952451;19.5;4.863893597;4
57000044;0.191991266;18.6;4.673419289;2
57000050;0.139034483;22.8;5.048015873;5
57000058;0.120594737;24;4.843969411;5
57000179;0.098;21;4.772474422;4
58000019;0.159962963;18.1;5.352251271;2
58000047;0.18367027;19.3;4.931722689;4
59000006;0.129442623;22.4;4.87744281;4
60000024;0.24890566;22.3;4.798993684;3
60000031;0.15446875;19.1;5.091666667;4
62000014;0.149618843;17.8;4.095739137;4
66000014;0.130835227;16.9;6.052905265;3
67000017;0.102254902;24;5.742417544;3
