SampleID;x1;x2;y; 
55072;2.14;2.5;0.233074262;
54787;2;2;0.292882874;
54788;2.02;3;0.591925937;
54789;2.02;3;0.472308712;
54790;2.02;3;0.292882874;
54791;2.02;3;0.352691487;
54792;2.15;4;0.472308712;
54793;2.14;2.5;0.113457037;
54794;1.98;4;0.352691487;
55067;2.02;3;0.831160386;
54786;1.98;2;0.412500099;
55071;2.15;4;0.711543161;
55073;1.98;4;0.472308712;
56872;2.15;4;0.532117324;
56874;1.8;2;0.352691487;
56875;1.8;4;0.591925937;
56876;1.95;2;0.651734549;
56877;1.855;2;0.352691487;
BF_FW30900217_2007;1.98;2;0.532117324;
BF_FW40607017_2007;2.15;4;0.651734549;
BF_FW40907057_2007;2.14;2.5;0.532117324;
BF_FW92001017_2007;1.98;4;0.292882874;
55069;2.02;3;0.831160386;
27764;2.14;2.5;0.532117324;
54779;1.98;4;0.412500099;
25414;1.87;4;0.352691487;
25415;1.9;4;0.233074262;
25416;1.8;2;0.591925937;
25417;1.8;4;0.352691487;
25418;1.8;4;0.233074262;
56873;1.87;4;0.412500099;
25413;2.15;4;0.472308712;
25420;1.855;2;0.233074262;
50022;2;2;0.771351774;
50024;2.02;3;0.113457037;
50025;2.02;3;0.233074262;
54771;2.02;3;0.292882874;
54775;2.02;3;0.532117324;
54777;2.15;4;0.532117324;
54778;2.14;2.5;0.292882874;
25419;1.95;2;0.412500099;
122100_2007-09-27;3.8075;3;0.409029338;
122050_2007-08-09;3.623077;3.5;0.409029338;
123000_2007-09-27;3.3075;3;0.349220726;
BERW06_MM38R_2008036;3.0408;4;0.414744943;
BERW06_MV35R_2008033;3.509;4;0.235319106;
BF_JDS076_2007;1.42;1;0.685657138;
BF_JDS086_2007;1.453882353;1;0.805274363;
BF_JDS085_2014;1.08;1;0.810980856;
BF_JDS085_2007;1.59;1;0.74546575;
BF_JDS083_2014;1.02;1;0.751172243;
BF_JDS083_2007;1.562045455;1;0.865082975;
BF_JDS082_2014;1.08;1;0.691363631;
BF_JDS080_2014;1.07;1;0.810980856;
BF_JDS080_2007;1.183111111;1;0.805274363;
BF_JDS079_2014;1.09;1;0.870789468;
BF_JDS079_2007;0.88;1;0.74546575;
BF_JDS077_2014;1.11;1.5;0.751172243;
BF_JDS067_2007;1.050078431;1;0.9847002;
BF_JDS076_2014;1.12;1;0.930598081;
BF_JDS075_2014;0.76;1;0.691363631;
BF_JDS075_2007;1.51;1;0.74546575;
BF_JDS073_2014;1.04;1;0.691363631;
BF_JDS072_2014;1;1;0.631555019;
BF_JDS070_2014;1.21;1;0.810980856;
BF_JDS069_2014;1.09;1;0.810980856;
BF_JDS068_2014;1.03;1;0.691363631;
BF_JDS068_2007;1.45;1;0.74546575;
BF_JDS067_2014;1.03;1;0.810980856;
BF_JDS082_2007;1.35;1;0.685657138;
BF_JDS086_2014;1.1;1.5;0.751172243;
BF_JDS077_2007;1.21375;1;0.625848526;
BF_JDS071_2007;3.2;2;0.452359091;
BF_JDS078_2007;1.19;2;0.631784929;
BF_JDS081_2007;8.02;3;0.392550479;
20120713_LabSchm;3.042;2;0.159951657;
20120713_LabVBre;3.075;3;-0.01947418;
20120718_LabLibe;3.2;4;0.399186107;
20120713_LabDeci;3.067;3;0.279568882;
20120718_LabObri;3.25;4;0.159951657;
20120718_LabLysa;3.45;4;0.159951657;
20120725_MorOsyB;2.1075;1;0.997272232;
20120731_MorBabi;1.991666667;3;0.399186107;
20120725_MorLanz;2.055;4;0.817846394;
20120712_VltTroj;2.6;3;1.057080844;
20120712_VltVran;2.55;4;0.45899472;
20120712_VltZelc;3;3;1.236506681;
20120712_VltPodo;2.62;4;0.518803332;
IN004_83402;2.1;4;0.15633063;
IN_01_66257;2.6;2;-0.023095207;
GLD / 2006 / 045;3.27;2;0.920635876;
GLD / 2008 / 005;3.31;2;0.621592814;
GLD / 2008 / 004;3.31;2;0.681401427;
GLD / 2008 / 006;3.31;2;0.442166977;
DESN_5-2_OBF02600_2008_07_03;3.25;4;0.621592814;
GLD / 2009 / 0312;3.31;2;0.741210039;
DESN_5-2_OBF02560_2008_07_01;3.275;3;0.442166977;
DESN_5-2_OBF02550_2008_07_01;3.25;3;0.860827264;
DESN_5-2_OBF02810_2008_07_03;3.4;4;0.860827264;
GLD / 2009 / 0313;3.31;2;0.741210039;
GLD / 2009 / 0320;3.27;2;0.621592814;
GLD / 2009 / 0319;3.27;2;0.442166977;
GLD / 2009 / 0318;3.27;2;0.382358364;
GLD / 2009 / 0317;3.27;2;0.442166977;
