SampleID;x1;x2;y; ; 
55072;0.051;3;0.330522274;;
54787;0.058;3;0.1314548;;
54788;0.059;2;0.8056248;;
54789;0.059;2;0.314806477;;
54790;0.059;2;0.36481143;;
54791;0.059;2;0.551753234;;
54792;0.054;3;0.523827416;;
54793;0.051;3;0.039778922;;
54794;0.048;3;0.672342204;;
55067;0.059;2;0.772220547;;
54786;0.049;3;0.457820721;;
55071;0.054;3;0.892364154;;
55073;0.048;3;0.828191158;;
56872;0.054;3;0.149789975;;
56874;0.06;3;0.644839402;;
56875;0.07;3;0.644839402;;
56876;0.07;3;0.424817452;;
56877;0.059111111;1;0.25980095;;
BF_FW30900217_2007;0.049;3;0.301055076;;
BF_FW40607017_2007;0.054;3;0.304805486;;
BF_FW40907057_2007;0.051;3;0.556830685;;
BF_FW92001017_2007;0.048;3;0.754850455;;
55069;0.059;2;0.716023006;;
27764;0.051;3;0.727347652;;
54779;0.048;3;0.534828505;;
25414;0.07;3;0.25980095;;
25415;0.06;3;0.292804219;;
25416;0.06;3;0.782353258;;
25417;0.08;3;0.168125151;;
25418;0.07;3;0.754850455;;
56873;0.07;3;0.424817452;;
25413;0.054;3;0.5662601;;
25420;0.059111111;1;0.149789975;;
50022;0.058;3;0.606335667;;
50024;0.059;2;0.236227175;;
50025;0.059;2;0.021443746;;
54771;0.059;2;0.330522274;;
54775;0.059;2;0.519112551;;
54777;0.054;3;0.644839402;;
54778;0.051;3;0.796104581;;
25419;0.07;3;0.507325703;;
122100_2007-09-27;0.257833;3.5;0.347719126;;
122050_2007-08-09;0.117692;3.5;0.260710429;;
123000_2007-09-27;0.26125;3;0.329255771;;
BERW06_MM38R_2008036;0.0713;3;0.424789918;;
BERW06_MV35R_2008033;0.2272;3;0.291507323;;
BF_JDS076_2007;0.11;2;0.472422907;;
BF_JDS086_2007;0.14582549;2;0.609936685;;
BF_JDS085_2014;0.07;2;0.742736868;;
BF_JDS085_2007;0.07;2;0.792454841;;
BF_JDS083_2014;0.07;2;0.445707134;;
BF_JDS083_2007;0.106545455;2;0.839126183;;
BF_JDS082_2014;0.07;2;0.68773142;;
BF_JDS080_2014;0.07;2;0.51171375;;
BF_JDS080_2007;0.173777977;2;0.747450383;;
BF_JDS079_2014;0.07;2;0.632725815;;
BF_JDS079_2007;0.08;2;0.63743933;;
BF_JDS077_2014;0.07;3;0.577720366;;
BF_JDS067_2007;0.064981481;2;0.706196258;;
BF_JDS076_2014;0.07;2;1.237786373;;
BF_JDS075_2014;0.07;2;0.357698338;;
BF_JDS075_2007;0.14;2;0.458671506;;
BF_JDS073_2014;0.07;2;1.237786373;;
BF_JDS072_2014;0.06;2;0.247687363;;
BF_JDS070_2014;0.08;2;0.797742316;;
BF_JDS069_2014;0.11;2;1.12777532;;
BF_JDS068_2014;0.1;2;0.445707134;;
BF_JDS068_2007;0.08;2;0.450420649;;
BF_JDS067_2014;0.11;2;0.30269289;;
BF_JDS082_2007;0.91;2;0.829958634;;
BF_JDS086_2014;0.06;3;0.68773142;;
BF_JDS077_2007;0.635142857;2;0.676728981;;
BF_JDS071_2007;0.34;2;0.119253654;;
BF_JDS078_2007;0.05;2;0.284270156;;
BF_JDS081_2007;0.36;3;0.339275682;;
20120713_LabSchm;0.128;3;0.116064071;;
20120713_LabVBre;0.127;3;-0.16092788;;
20120718_LabLibe;0.134;3;0.588194547;;
20120713_LabDeci;0.129;3;0.249533309;;
