SampleID;x1;x2;y;RandomEffect1;RandomEffect2
1;410;49.3;14.454;7699;L
2;300;49.3;19.4949;7699;L
3;380;66.6;22.142;7699;L
4;270;66.6;6.451;7699;L
5;270;66.6;5.567;7699;L
6;267;28.8;4.240329663;7791;M
7;152;28.8;1.707010662;7791;M
8;222;28.8;10.5609552;7791;M
9;307;28.8;2.903640994;7806;M
10;257;28.8;0.540822392;7806;M
11;144;28.8;1.347614712;7806;M
12;250;26.4;0.7671669;7690;M
13;170;26.4;1.0712788;7690;M
14;64;26.4;1.0135268;7690;M
15;212;28.8;9.900260563;7838;M
16;310;28.8;6.920355766;7838;M
17;140;28.8;6.862209955;7838;M
18;241;37.4;21.19448084;7877;M
19;218;37.4;18.35495121;7877;M
20;56;37.4;69.90172595;7877;M
21;49;49.9;0.001974063;7763;M
22;56;49.9;0;7763;M
23;200;26.4;2.621607473;7792;M
24;160;26.4;4.95386102;7792;M
25;170;26.4;12.83189257;7792;M
26;260;26.4;1.2461733;7814;M
27;240;26.4;2.2109624;7814;M
28;150;26.4;0.3970968;7814;M
29;331;28.8;0.993599457;7730;M
30;328;28.8;3.188268005;7730;M
31;201;28.8;4.431891864;7730;M
32;200;26.4;1.1240348;7808;M
33;160;26.4;0.7420571;7808;M
34;150;26.4;0.5105198;7808;M
35;180;70.4;0;7931;M
36;22;98.8;0.0104;8091;M
37;10;98.8;0.00582;8091;M
38;30;91.3;24.34407703;8196;L
39;30;91.3;37.20611683;8196;L
40;100;91.3;34.41712132;8196;L
41;270;24;9.329370561;7707;M
42;230;24;4.070904083;7707;M
43;440;24;14.17040939;7707;M
44;100;31.8;3.985575593;7669;M
45;70;31.8;4.706524283;7669;M
46;70;31.8;4.329676735;7669;M
47;50;26.4;0.0305489;7825;M
48;41;26.4;0.5564338;7825;M
49;14;26.4;0;7825;M
50;20;35.2;0.604931504;7664;M
51;30;35.2;0.550875629;7664;M
52;40;35.2;0.737268222;7664;M
53;130;37.3;0.624395162;7696;M
54;130;37.3;4.904442399;7696;M
55;100;37.3;0;7696;M
56;700;28.8;36.13402439;7719;S
57;414;28.8;1.627988306;7719;S
58;192;28.8;62.46275237;7719;S
