SampleID;x1;x2;y;RandomEffect ; 
1;23.596359;12;18.750658;1984;
2;21.169348;25;14.739897;1985;
3;21.929674;16;13.109378;1986;
4;19.813587;42;14.575027;1987;
5;24.623859;34;15.724066;1988;
6;22.758533;12;18.130855;1989;
7;36.445707;0;25.477989;1990;
8;41.3525;11;27.661215;1991;
9;38.268043;12;22.959494;1992;
10;40.850598;10;26.821625;1993;
11;42.919946;18;22.029731;1994;
12;39.885652;0;23.897822;1995;
13;44.70288;11;27.207587;1996;
14;46.11087;4;23.431459;1997;
15;39.855435;15;22.597614;1998;
16;38.46163;21;21.347269;1999;
17;42.305543;38;23.840288;2000;
18;45.372989;14;20.839726;2001;
19;38.905815;6;22.329149;2002;
20;41.133859;10;19.863793;2003;
21;44.620652;9;20.650317;2004;
22;40.32837;6;20.492629;2005;
23;41.987717;32;18.75227;2006;
24;70.859022;13;26.748682;2007;
25;41.083913;10;21.209616;2008;
26;41.004076;16;19.493228;2009;
27;32.629239;20;18.194475;2010;
28;37.377337;31;16.263828;2011;
29;34.698804;29;14.845599;2012;
30;39.946685;23;14.353858;2013;
31;26.495598;43;13.745789;2014;
32;23.704728;65;13.959865;2015;
33;28.540652;36;16.367701;2016;
34;28.178207;30;15.524068;2017;
35;34.877174;17;13.798469;2018;
36;33.137826;35;14.77222;2019;
37;28.897717;36;12.107299;2020;
38;29.926413;59;14.797787;2021;
39;26.754891;14;14.435364;2022;
40;19.939402;36;11.542977;2023;
41;21.826359;65;11.07988;2024;
42;28.64538;29;17.069357;2025;
43;31.350489;15;15.222059;2026;
44;37.354728;18;15.672596;2027;
45;29.433696;32;14.27269;2028;
46;23.114837;50;8.855486;2029;
47;29.730543;42;13.272268;2030;
48;23.405543;13;12.040443;2031;
49;23.939674;72;10.889944;2032;
50;25.6575;58;10.937386;2033;
51;28.207446;49;14.91124;2034;
52;28.636902;31;14.188128;2035;
53;34.362391;10;11.510091;2036;
54;28.47337;35;13.24839;2037;
55;30.365543;28;11.611451;2038;
56;30.943533;43;13.808309;2039;
57;26.160489;9;12.754245;2040;
58;23.72962;57;11.142382;2041;
59;21.499457;62;9.852895;2042;
60;32.546141;13;15.939487;2043;
61;28.358696;35;11.861868;2044;
62;36.545163;7;14.666509;2045;
63;32.969402;16;12.455572;2046;
64;26.478478;10;9.913226;2047;
65;28.997228;73;9.990564;2048;
66;19.611033;23;8.908254;2049;
67;19.480054;52;9.003638;2050;
68;18.947065;66;9.78507;2051;
69;29.525217;42;14.990302;2052;
70;25.675109;43;10.283927;2053;
71;30.106141;5;10.205215;2054;
72;30.415652;25;10.387595;2055;
73;31.862391;9;11.47693;2056;
74;29.826033;37;10.544294;2057;
75;24.810163;7;10.319935;2058;
76;22.525054;47;9.286109;2059;
77;23.262989;51;7.743089;2060;
78;33.781467;0;10.960775;2061;
79;24.970435;87;12.856973;2062;
80;35.574293;4;11.685066;2063;
81;32.583424;42;11.83768;2064;
82;32.413261;27;10.118504;2065;
83;27.708261;32;10.045712;2066;
84;24.636957;12;9.715281;2067;
85;22.574674;59;10.142235;2068;
86;22.692174;51;10.195012;2069;
87;29.217391;15;13.650677;2070;
