SampleID;x1;x2;y;year
1;18.73333333;67.5;14.26383333;1983
2;15.93333333;40;7.176333333;1984
3;20.6;29.66666667;7.754;1985
4;17.9;51;5.02;1986
5;16.96666667;44.66666667;3.620666667;1987
6;19.93333333;56.33333333;11.30690333;1988
7;19.41538462;44.03571429;18.86485714;1989
8;18.3;55;3.83;1990
9;18.56666667;49.33333333;11.88433333;1991
10;18.56666667;40;10.62666667;1992
11;18.9;30;15.775;1993
12;17.1;83.33333333;4.698986;1994
13;20.09888889;57.11764706;13.99152579;1995
14;21.79166667;80;30.0618;1996
15;21.21666667;50;18.783415;1997
16;17.85;50.16666667;21.32392667;1998
17;21.11428571;59.28571429;6.402457143;1999
18;17.95714286;52.71428571;14.69002571;2000
19;20.43333333;35.33333333;9.05164;2001
20;21.88333333;39;15.28333667;2002
21;18.65;72.33333333;16.50693;2003
22;17.5;38.33333333;17.68879667;2004
23;19.83333333;38;9.02323;2005
24;19.96666667;44.66666667;16.82703667;2006
25;21.05;53.33333333;22.39286667;2007
26;18.06666667;45.66666667;15.95137667;2008
27;16.84666667;39.66666667;12.77683;2009
28;19.44;34.66666667;17.44166667;2010
29;21.5;33.66666667;17.34676667;2011
30;17.8;48.33333333;13.54371029;2012
31;18.06666667;41.66666667;22.579517;2013
32;20.36666667;48.66666667;18.14564757;2014
33;13.35;42.75;18.1858029;2015
