SampleID;x1;x2;y;RandomEffect
D0100012;39.291;100;0.39970185;2
D0100021;60;70;0.423149335;1
D0100022;107.58;70;0.407929338;2
D0100031;12.1;85;0.417130476;1
D0100032;20.579;95;0.363652616;2
D0100041;90;100;0.423376069;1
D0100042;56;100;0.42156159;2
D0100061;397;100;0.370282234;1
D0100062;388.21;95;0.381531797;2
D0100071;621;95;0.317134909;1
D0100072;555.2;95;0.415071607;2
D0100081;239;100;0.407991045;1
D0100082;438.4;95;0.436286473;2
D0100091;80;50;0.36544595;1
D0100092;122.07;20;0.331077826;2
D0100101;430;40;0.31974819;1
D0100102;353.54;30;0.336361992;2
D0100111;9;20;0.386561741;1
D0100112;16.147;25;0.316299733;2
D0100121;81;70;0.368297459;1
D0100122;67.309;75;0.396494246;2
D0100141;250;35;0.387523192;1
D0300011;59.5;90;0.400475591;1
D0300012;90.626;95;0.401588688;2
D0300013;89;100;0.422643777;3
D0300021;36.7;95;0.405024127;1
D0300022;79.24;95;0.384662984;2
D0300023;58;95;0.457649641;3
D0300031;6.2;100;0.411699724;1
D0300032;14.877;100;0.428097176;2
D0300033;12;100;0.410879045;3
D0300041;42.9;100;0.41095581;1
D0300042;294.72;100;0.399625852;2
D0300043;99;100;0.424298311;3
D0300051;11.2;90;0.383530152;1
D0300052;309.73;100;0.422767303;2
D0300053;68;100;0.447826726;3
D0300061;79.3;95;0.411852969;1
D0300062;301.68;80;0.411325058;2
D0300063;457;95;0.379762347;3
D0300071;24.4;80;0.380332142;1
D0300072;8.432;75;0.392345442;2
D0300073;8;70;0.387418964;3
D0300081;170;100;0.375451523;1
D0300082;108.57;100;0.377175898;2
D0300083;108;100;0.423417453;3
D0300101;47.8;50;0.419541234;1
D0300102;222.22;95;0.418181632;2
D0300103;72;30;0.425355057;3
D0300111;40.7;100;0.455169521;1
D0300112;66.091;100;0.432292055;2
D0300113;64;100;0.450126627;3
D0300121;229.2;100;0.435671312;1
D0300122;786.22;100;0.452626466;2
D0300123;300;100;0.43274007;3
D0300131;96;95;0.414882785;1
D0300132;680.73;90;0.411811219;2
D0300133;539;95;0.404168242;3
D0300141;59.5;85;0.458004163;1
D0300142;258.63;90;0.452994522;2
D0300143;157;95;0.442516636;3
D0300151;182;95;0.356748967;1
D0300152;452.06;85;0.416845228;2
D0300153;189;95;0.459916966;3
D0300161;146;60;0.439644905;1
D0300162;729.53;65;0.388551584;2
D0300163;251;50;0.365755087;3
D0300171;34.3;90;0.437163375;1
D0300172;210.62;95;0.467285626;2
D0300173;209;95;0.475249273;3
D0300181;15.2;100;0.37148096;1
D0300182;223.66;80;0.351730837;2
D0300183;169;90;0.380867917;3
D0300191;37.5;85;0.376007815;1
D0300192;32.164;80;0.249070094;2
D0300193;32;80;0.285491376;3
N1300241;40;55;0.447722919;1
N1300243;40;55;0.461574755;3
N1300251;60;10;0.398942784;1
N1300253;40;15;0.383925791;3
N1300261;50;0;0.440608417;1
N1300271;60;0;0.396663205;1
N1300273;70;0;0.37513136;3
N1300281;40;0;0.384645979;1
N1300291;50;10;0.385593807;1
N1300303;90;20;0.351520228;3
N1300321;120;30;0.390799962;1
N1300323;60;0;0.378088989;3
N1300341;90;0;0.362160572;1
N1300343;100;0;0.341887341;3
N1400021;20;45;0.373269369;1
N1400023;20;60;0.376536849;3
N1400061;20;60;0.364540702;1
N1400101;20;20;0.407356926;1
N1400103;20;20;0.41436461;3
N1400133;40;60;0.374347115;3
N1400211;30;90;0.408213615;1
N1400271;30;65;0.354842805;1
N1400272;20;50;0.36751904;2
N1400281;40;60;0.401785474;1
N1400283;40;50;0.358396598;3
N1400291;20;50;0.399724272;1
N1400292;70;50;0.396746061;2
N1400301;60;60;0.368016207;1
N1400303;90;40;0.389263293;3
N1400411;9;90;0.403807131;1
S0500021;9;10;0.385650803;1
S0500023;31;30;0.393054338;3
S0500031;9;35;0.391290352;1
S0500033;52;20;0.422814604;3
S0500041;9;10;0.437421153;1
S0500043;6;10;0.419410116;3
S0500051;6;40;0.422488132;1
S0500053;6;40;0.44043776;3
S0500061;15;10;0.448488855;1
S0500063;12;25;0.404173017;3
S0500071;15;60;0.423868377;1
S0500073;28;50;0.426922708;3
S0500081;9;0;0.402647629;1
S0500083;46;0;0.389999998;3
S0500101;12;30;0.47459839;1
S0500103;74;0;0.433540877;3
S0500111;3;0;0.411964808;1
S0500113;6;30;0.450008564;3
S0500121;9;10;0.422956941;1
