SampleID;x1;x2;y;RandomEffect 1;RandomEffect 2
1;108.3333333;16.91666667;10.65;Lep;1985
2;95.5;17.6;13.01666667;Lep;1986
3;101.7777778;14.28888889;11.8;Lep;1987
4;95.5;19.15;21.46666667;Lep;1988
5;79.83333333;16.83333333;24.96666667;Lep;1989
6;80.16666667;16.85;20.45;Lep;1990
7;117.3333333;16.98333333;11;Lep;1991
8;48;17.65;11.55;Lep;1992
9;72.66666667;15.53333333;6.833333333;Lep;1993
10;62;15.95;4.55;Lep;1994
11;61;17.25;2.25;Lep;1995
12;69.5;15.95;3.55;Lep;1996
13;123.5;18.45;6.15;Lep;1997
14;156.3333333;15.76666667;6.366666667;Lep;1998
15;69.33333333;16.83333333;11.8;Lep;1999
16;78.5;15.425;5.966666667;Lep;2000
17;113.4;16.48;2.966666667;Lep;2001
18;116.2;17.14;9.7;Lep;2002
19;102;17.35;3.666666667;Lep;2003
20;155.4444444;16.04;3;Lep;2004
21;111.4;17.46;7.65;Lep;2005
22;74.5;15.5;13.9;Harka;1992
23;80;13.76666667;22.4;Harka;1993
24;52.5;15.35;4.6;Harka;1994
25;57.5;17.45;6.5;Harka;1995
26;76;15.45;2.9;Harka;1996
27;140;17;4.5;Harka;1997
28;124;15.76666667;20.93333333;Harka;1998
29;82.5;17.3;8.6;Harka;1999
30;97;18.98;18;Lojo68;1994
31;95.8;19.34;24;Lojo68;1995
32;80;18.32;6.6;Lojo68;1996
33;88.8;19.78;10;Lojo68;1997
34;216;15.2;12;Lojo68;1998
35;77.6;18.22;26;Lojo68;1999
36;81;19.65;14;Lojo68;2001
37;70;18.9;31;Lojo64;1990
38;100;18.7;12.7;Lojo64;1991
39;113.5;19.8;15.1;Lojo64;1992
40;175.5;16.1;11.05;Lojo64;1993
41;101;16.83333333;8.066666667;Lojo64;1994
42;156.6666667;17.93333333;28.33333333;Lojo64;1995
43;90.33333333;17.86666667;15.33333333;Lojo64;1996
44;116;19.26666667;7.966666667;Lojo64;1997
45;170.3333333;14.7;6.1;Lojo64;1998
46;88.5;20.025;9.4;Lojo64;1999
47;128;16.5;6.525;Lojo64;2000
48;84.66666667;19.73333333;8.3;Lojo64;2001
49;117;21.56666667;9.45;Lojo64;2002
50;87.5;18.95;6.15;Lojo64;2003
51;146.3333333;16.83333333;7.5;Lojo64;2004
52;122.3333333;19.33333333;5.6;Lojo64;2005
53;71;19.1;8.5;Lojo64;2006
54;145;18.525;12.55;Lojo64;2007
55;149;18.36666667;6.45;Lojo64;2008
56;83;17.46666667;7.65;Lojo64;2009
57;67;20.25714286;15.5;Lojo64;2010
58;133.1666667;19.58333333;10.66666667;Lojo64;2011
59;97.125;17.95714286;7.966666667;Lojo64;2012
60;81.88888889;19.5375;6.8;Lojo64;2013
61;108.7777778;17.74444444;5.4;Lojo64;2014
62;170;19.2;28;Lojo40;1990
63;111.5;18.65;26.95;Lojo40;1991
64;140;18.7;66.25;Lojo40;1992
65;225;16.65;22.55;Lojo40;1993
66;125;17.85;35.6;Lojo40;1994
67;129.5;19.35;142;Lojo40;1995
68;108.5;18.25;32;Lojo40;1996
69;109.5;18.85;24;Lojo40;1997
70;210;14.95;8.65;Lojo40;1998
71;160;19.95;78;Lojo40;1999
72;205;15.55;17.9;Lojo40;2000
73;96.66666667;18.23333333;35.5;Lojo40;2001
