SampleID;x1;x2;y
1;Control;Control;0.445876289
2;Control;Control;0.4
3;Control;Control;0.5336374
4;Control;Control;0.446889952
5;Control;Control;0.462732919
6;Control;Low;0.183465459
7;Control;Low;0.161165049
8;Control;Low;0.179736294
9;Control;Low;0.301040312
10;Control;Low;0.210144928
11;Low;Control;0.832568807
12;Low;Control;0.643665158
13;Low;Control;0.357575758
14;Low;Control;0.506849315
15;Low;Control;0.842271293
16;Low;Low;0.910577972
17;Low;Low;0.878854626
18;Low;Low;0.867170626
19;Low;Low;0.948905109
20;Low;Low;0.95410628
