SampleID;x1;x2;y;year; 
1;23.596359;12;92;1984;
2;21.169348;25;83;1985;
3;21.929674;16;69;1986;
4;19.813587;42;74;1987;
5;24.623859;34;88;1988;
6;22.758533;12;92;1989;
7;36.445707;0;92;1990;
8;41.3525;11;92;1991;
9;38.268043;12;92;1992;
10;40.850598;10;92;1993;
11;42.919946;18;92;1994;
12;39.885652;0;92;1995;
13;44.70288;11;92;1996;
14;46.11087;4;92;1997;
15;39.855435;15;92;1998;
16;38.46163;21;92;1999;
17;42.305543;38;92;2000;
18;45.372989;14;92;2001;
19;38.905815;6;92;2002;
20;41.133859;10;92;2003;
21;44.620652;9;92;2004;
22;40.32837;6;92;2005;
23;41.987717;32;92;2006;
24;70.859022;13;92;2007;
25;41.083913;10;92;2008;
26;41.004076;16;92;2009;
27;32.629239;20;92;2010;
28;37.377337;31;92;2011;
29;34.698804;29;92;2012;
30;39.946685;23;88;2013;
31;26.495598;43;84;2014;
32;23.704728;65;89;2015;
33;28.540652;36;89;2016;
34;28.178207;30;75;2017;
35;34.877174;17;79;2018;
36;33.137826;35;75;2019;
37;28.897717;36;55;2020;
38;29.926413;59;84;2021;
39;26.754891;14;92;2022;
40;19.939402;36;66;2023;
41;21.826359;65;61;2024;
42;28.64538;29;92;2025;
43;31.350489;15;79;2026;
44;37.354728;18;86;2027;
45;29.433696;32;76;2028;
46;23.114837;50;20;2029;
47;29.730543;42;86;2030;
48;23.405543;13;73;2031;
49;23.939674;72;58;2032;
50;25.6575;58;53;2033;
51;28.207446;49;89;2034;
52;28.636902;31;69;2035;
53;34.362391;10;55;2036;
54;28.47337;35;70;2037;
55;30.365543;28;59;2038;
56;30.943533;43;76;2039;
57;26.160489;9;91;2040;
58;23.72962;57;57;2041;
59;21.499457;62;22;2042;
60;32.546141;13;81;2043;
61;28.358696;35;53;2044;
62;36.545163;7;86;2045;
63;32.969402;16;70;2046;
64;26.478478;10;35;2047;
65;28.997228;73;42;2048;
66;19.611033;23;8;2049;
67;19.480054;52;0;2050;
68;18.947065;66;7;2051;
69;29.525217;42;87;2052;
70;25.675109;43;50;2053;
71;30.106141;5;42;2054;
72;30.415652;25;49;2055;
73;31.862391;9;53;2056;
74;29.826033;37;50;2057;
75;24.810163;7;46;2058;
76;22.525054;47;14;2059;
77;23.262989;51;6;2060;
78;33.781467;0;59;2061;
79;24.970435;87;70;2062;
80;35.574293;4;59;2063;
81;32.583424;42;64;2064;
82;32.413261;27;43;2065;
83;27.708261;32;43;2066;
84;24.636957;12;20;2067;
85;22.574674;59;26;2068;
86;22.692174;51;25;2069;
87;29.217391;15;67;2070;
