SampleID;x1;x2;y;RandomEffect1;RandomEffect2
108;8;13.70978261;0.006103775;Konn;1977
113;8;13.55652174;0.00226269;Konn;1982
117;8;14.89891304;0.016902664;Konn;1986
119;8;16.0673913;0.010155081;Konn;1988
120;10;14.9326087;0.007568079;Konn;1989
121;6.5;14.03369565;0.0035746;Konn;1990
122;8;14.69782609;0.00493173;Konn;1991
123;8;14.11521739;0.003522683;Konn;1992
124;5;12.75326087;0.0069089;Konn;1993
125;9;14.99347826;0.00129355;Konn;1994
129;5;13.69347826;0.000665;Konn;1998
131;7;14.46521739;0.00159698;Konn;2000
137;6.333333333;16.48804348;0.002550459;Konn;2006
138;6;15.18804348;0.002716297;Konn;2007
139;4;13.41521739;0.004232542;Konn;2008
140;7.5;14.40978261;0.00579825;Konn;2009
141;9;16.70217391;0.005131346;Konn;2010
142;4.5;16.52608696;0.001598626;Konn;2011
143;7;14.41195652;0.002235281;Konn;2012
151;11;14.68804348;0.011789115;Lang;1982
155;14;15.37934783;0.017933379;Lang;1986
159;13.8;15.09782609;0.016853667;Lang;1990
165;10;15.12173913;0.002441057;Lang;1996
166;12;17.64347826;0.006585358;Lang;1997
167;14;14.13152174;0.004557595;Lang;1998
168;14;16.41304348;0.003318405;Lang;1999
169;13.25;14.71847826;0.005136208;Lang;2000
170;17.5;16.31460674;0.004584762;Lang;2001
171;12.66666667;17.28152174;0.002806033;Lang;2002
173;12.5;14.4;0.001541129;Lang;2004
174;16.66666667;15.80434783;0.004890163;Lang;2005
175;16.5;17.00978261;0.005143679;Lang;2006
176;16;15.87065217;0.008269778;Lang;2007
177;15;14.30978261;0.01124747;Lang;2008
178;16.5;14.91222222;0.009963443;Lang;2009
179;13.5;17.14555556;0.007177405;Lang;2010
180;11.5;17.29130435;0.00698841;Lang;2011
181;14;14.78695652;0.010343173;Lang;2012
182;15;16.32173913;0.011945527;Lang;2013
183;18;16.16847826;0.0040368;Lang;2014
187;20.5;13.30326087;0.040199848;Lapp;1982
188;17.5;13.74021739;0.101653133;Lapp;1983
189;21;13.58695652;0.1061277;Lapp;1984
190;19.5;14.36086957;0.068748694;Lapp;1985
191;14;14.42391304;0.076528186;Lapp;1986
192;12;12.54347826;0.035757186;Lapp;1987
193;24;15.775;0.024122944;Lapp;1988
194;22;14.44565217;0.439373948;Lapp;1989
195;22;14.25326087;0.016797109;Lapp;1990
196;12;14.62608696;0.047959436;Lapp;1991
197;18;14.04782609;0.020668439;Lapp;1992
198;28;12.82282609;0.06145052;Lapp;1993
199;16;14.86630435;0.06680947;Lapp;1994
200;21;14.59673913;0.009562609;Lapp;1995
201;15;14.23478261;0.010890432;Lapp;1996
203;12;13.73152174;0.067655529;Lapp;1998
204;25;15.09673913;0.025239583;Lapp;1999
205;20;14.41413043;0.13054857;Lapp;2000
206;18.5;15.39673913;0.02036023;Lapp;2001
207;25.5;16.93478261;0.056865872;Lapp;2002
208;18.5;15.49130435;0.018669278;Lapp;2003
209;21;14.35652174;0.01269105;Lapp;2004
211;18.5;16.53478261;0.016070328;Lapp;2006
212;21.5;15.31413043;0.011517028;Lapp;2007
213;23.5;13.75978261;0.018327653;Lapp;2008
214;21;14.54578313;0.010465036;Lapp;2009
215;16;15.86195652;0.024810276;Lapp;2010
216;18;16.49130435;0.118404986;Lapp;2011
217;34.5;14.43695652;0.053575363;Lapp;2012
218;29;15.6;0.037384112;Lapp;2013
219;29.5;15.74782609;0.06407934;Lapp;2014
221;12.33333333;13.66630435;0.003121625;Paaj;1976
222;8;14.05326087;0.001749825;Paaj;1977
227;9;14.27934783;0.009195269;Paaj;1982
228;8;14.95652174;0.024091667;Paaj;1983
229;9;13.97826087;0.038003;Paaj;1984
230;13;14.53913043;0.032770845;Paaj;1985
231;11;15.21847826;0.022153127;Paaj;1986
232;12;12.95;0.0293814;Paaj;1987
233;11;16.43804348;0.015875524;Paaj;1988
234;26.5;15.34456522;0.010807867;Paaj;1989
235;15;14.69782609;0.016414756;Paaj;1990
236;9;15.07608696;0.005408971;Paaj;1991
237;6;15.15434783;0.006156376;Paaj;1992
238;11;13.1173913;0.003401143;Paaj;1993
239;16;15.48152174;0.002542019;Paaj;1994
240;12;15.86521739;0.01076228;Paaj;1995
241;10;14.65326087;0.005273732;Paaj;1996
242;14;17.11847826;0.01229224;Paaj;1997
243;13;14.11521739;0.005564369;Paaj;1998
244;14;16.58369565;0.00759324;Paaj;1999
245;10;14.45652174;0.006382955;Paaj;2000
246;11.5;16.08478261;0.004315064;Paaj;2001
247;10.5;16.975;0.005871522;Paaj;2002
248;9.5;15.61304348;0.01946699;Paaj;2003
249;11;14.41304348;0.00560544;Paaj;2004
250;11.5;15.46521739;0.005793904;Paaj;2005
251;16;16.70652174;0.003298747;Paaj;2006
252;11.5;15.49456522;0.003169974;Paaj;2007
253;13.5;14.24021739;0.001653531;Paaj;2008
254;16;14.59782609;0.003802224;Paaj;2009
255;10;16.92873563;0.001778683;Paaj;2010
256;9;17.04782609;0.003990162;Paaj;2011
257;12.5;14.75108696;0.002379687;Paaj;2012
259;13;15.8673913;0.002288213;Paaj;2014
261;21;14.45434783;0.131547517;Pyha;1982
262;15;14.97065217;0.002921047;Pyha;1983
263;10;13.88478261;0.003782722;Pyha;1984
264;9;14.7076087;0.007349438;Pyha;1985
265;10;15.11847826;0.009017332;Pyha;1986
266;7;12.89021739;0.022748524;Pyha;1987
267;13;16.49565217;0.01090493;Pyha;1988
268;11;15.14891304;0.016408512;Pyha;1989
269;8;14.87717391;0.023153674;Pyha;1990
270;10;14.99565217;0.013853624;Pyha;1991
271;15.66666667;15.30217391;0.019673799;Pyha;1992
272;15.5;13.32173913;0.00907944;Pyha;1993
273;11;15.46413043;0.07291276;Pyha;1994
274;20;15.70217391;0.006682107;Pyha;1995
276;17.75;17.24782609;0.003207431;Pyha;1997
277;20.442;13.95217391;0.01352618;Pyha;1998
278;15.8;16.29891304;0.006201167;Pyha;1999
279;16.5;14.42282609;0.010118038;Pyha;2000
280;15.8;15.94456522;0.0051283;Pyha;2001
281;20.5;17.16956522;0.002397473;Pyha;2002
282;15;15.89130435;0.006884289;Pyha;2003
283;11.8;14.46195652;0.0222576;Pyha;2004
284;15.5;15.56086957;0.010241241;Pyha;2005
285;14.5;17.0423913;0.265807874;Pyha;2006
286;16.75;15.83695652;0.007224456;Pyha;2007
287;16.8;14.69673913;0.043718238;Pyha;2008
288;15.5;14.99673913;0.010975863;Pyha;2009
289;12.5;17.06630435;0.092465975;Pyha;2010
290;14;17.11521739;0.535477023;Pyha;2011
291;19;14.6076087;0.039808184;Pyha;2012
292;18.45;16.24021739;0.394769787;Pyha;2013
367;37.66666667;15.75326087;0.093783018;Vesi;1980
368;39;14.54891304;0.805383576;Vesi;1981
381;27.33333333;15.69565217;0.033447763;Vesi;1994
382;20.66666667;16.34782609;0.012390671;Vesi;1995
383;19.5;14.82282609;0.010599395;Vesi;1996
384;28;17.34456522;0.011939037;Vesi;1997
385;19;14.57608696;0.00959403;Vesi;1998
386;27.66666667;16.63296703;0.01577855;Vesi;1999
388;25.33333333;16.27608696;0.045682174;Vesi;2001
390;12.66666667;16.0576087;0.009086603;Vesi;2003
391;29;14.96086957;0.027213606;Vesi;2004
392;27;15.99782609;0.094753017;Vesi;2005
393;22.33333333;17.17065217;0.026782436;Vesi;2006
394;20.5;15.97065217;0.013847958;Vesi;2007
395;24.66666667;14.68586957;0.007863327;Vesi;2008
396;24.66666667;15.15217391;0.191022393;Vesi;2009
397;22.25;17.8326087;0.01697208;Vesi;2010
398;17.66666667;17.64456522;0.01076006;Vesi;2011
399;22.33333333;15.22717391;0.015178847;Vesi;2012
400;26.33333333;16.49456522;0.027133256;Vesi;2013
401;24;16.09456522;0.005422552;Vesi;2014
421;24.3;16.24021739;0.52960449;Van1;2007
422;38.875;16.40543478;0.103116643;Van1;2008
423;28;16.225;0.197030339;Van1;2009
424;25.66666667;15.91630435;0.102594333;Van1;2010
425;25.66666667;16.23152174;0.048005;Van1;2011
426;30;14.91956522;0.117155964;Van1;2012
427;36.33333333;16.32282609;0.84223795;Van1;2013
428;26.66666667;17.34021739;0.258437315;Van1;2014
429;23.9;16.24021739;1.96621685;Van2;2007
430;39.75;16.40543478;0.34440619;Van2;2008
431;27.8;16.225;0.757673761;Van2;2009
432;27.16666667;15.91630435;0.129918167;Van2;2010
433;26;16.23152174;0.036842083;Van2;2011
434;27.71428571;14.91956522;0.030627857;Van2;2012
435;29.33333333;16.32282609;0.241477586;Van2;2013
436;25.66666667;17.34021739;0.15930653;Van2;2014
437;17;14.60108696;1.467816223;Gjer;1979
444;21;15.06847826;0.112576074;Gjer;1986
445;24.33333333;13.4576087;0.0689642;Gjer;1987
446;21.5;16.04328358;0.06891875;Gjer;1988
447;19.66666667;14.52716049;0.540335464;Gjer;1989
448;23.33333333;15.53370787;0.435418508;Gjer;1990
449;17;14.11904762;0.116258334;Gjer;1991
451;16;13.63012048;0.143150377;Gjer;1993
453;12;15.75777778;0.012524667;Gjer;1995
455;13;18.03695652;0.00078;Gjer;1997
457;14;15.06847826;0.00166;Gjer;1999
459;20;15.36195652;0.084526667;Gjer;2001
460;12;16.69294118;0.02651;Gjer;2002
461;15;16.49021739;0.028063333;Gjer;2003
462;14;15.25326087;0.036599167;Gjer;2004
463;13;15.63369565;0.027551333;Gjer;2005
465;16.5;15.73152174;0.520876375;Gjer;2007
466;21;15.55217391;0.053235;Gjer;2008
467;16;15.58586957;0.255099128;Gjer;2009
468;20;15.50217391;0.032754667;Gjer;2010
469;15;15.74891304;0.013199219;Gjer;2011
470;16;14.62282609;0.019363595;Gjer;2012
471;25;15.77826087;0.009288333;Gjer;2013
472;15;16.71413043;0.021745992;Gjer;2014
474;120;15.38586957;3.284351928;Kolb;1984
475;114.3333333;14.60652174;0.958818999;Kolb;1985
476;98.3;15.06847826;0.744979744;Kolb;1986
477;88;13.4576087;0.159737456;Kolb;1987
478;41.375;16.04328358;0.655487248;Kolb;1988
479;49;14.52716049;3.698660575;Kolb;1989
480;54;15.53370787;0.184549204;Kolb;1990
482;33.66666667;16.242;2.873726784;Kolb;1992
484;38.5;16.34883721;1.12291;Kolb;1994
488;26;13.88369565;4.159966667;Kolb;1998
490;23;14.35217391;2.94697125;Kolb;2000
492;29;16.69294118;0.141576667;Kolb;2002
493;45;16.49021739;0.13498;Kolb;2003
494;40;15.25326087;0.01048;Kolb;2004
495;43;15.63369565;3.68268;Kolb;2005
497;52;15.73152174;4.45105445;Kolb;2007
498;39.33333333;15.55217391;0.171744658;Kolb;2008
499;21;15.58586957;0.022903596;Kolb;2009
500;39;15.50217391;1.068523732;Kolb;2010
501;34;15.74891304;0.226589355;Kolb;2011
502;21;14.62282609;1.326737389;Kolb;2012
503;34;15.77826087;1.425046333;Kolb;2013
504;26;16.71413043;3.478530129;Kolb;2014
505;10;14.26413043;0.172842;Mjos;1972
506;12.15;14.78369565;0.509260415;Mjos;1973
508;9.3;15.3201087;0.245066667;Mjos;1975
509;9.466666667;15.1451087;0.425166667;Mjos;1976
510;7.75;13.65;0.0453;Mjos;1977
511;11.33333333;13.99184783;0.189833333;Mjos;1978
512;6.72;13.64565217;0.008714286;Mjos;1979
513;8.5;14.8548913;0.002648333;Mjos;1980
514;7.05;13.14782609;0.00078;Mjos;1981
515;9.5;14.51630435;0.002583333;Mjos;1982
516;6.933333333;14.96413043;0.004654575;Mjos;1983
517;6;14.01304348;0.011071983;Mjos;1984
518;8.333333333;13.75652174;0.02217435;Mjos;1985
519;5.5;14.125;0.011324;Mjos;1986
520;7.55;12.60434783;0.00117;Mjos;1987
521;5.05;15.20815217;0.00302;Mjos;1988
522;8.25;14.14347826;0.0029375;Mjos;1989
523;6.25;14.38913043;0.00124;Mjos;1990
524;6.5;14.07391304;0.002615;Mjos;1991
525;3.95;14.94619565;0.00127;Mjos;1992
526;4.05;12.86902174;0.002746667;Mjos;1993
527;5.233333333;15.27228261;0;Mjos;1994
528;4.1;14.86847826;0.00045;Mjos;1995
529;5.45;14.62336957;0.00096;Mjos;1996
530;5.6;18.36793478;0.00104;Mjos;1997
531;3.5;12.94945652;0.00039;Mjos;1998
532;3.5;14.42445652;0.00039;Mjos;1999
533;4.8;13.60934066;0.000325;Mjos;2000
534;4.8;14.60434783;0.00026;Mjos;2001
535;3.3;16.44456522;0.002433333;Mjos;2002
536;3.4;15.83804348;0.001495;Mjos;2003
537;1.5;14.56358696;0.00198;Mjos;2004
538;2.8;14.8701087;0.00234;Mjos;2005
539;3.5;16.6701087;0.00296;Mjos;2006
540;2.91875;15.09836957;0.006646667;Mjos;2007
541;3.075;14.92445652;0.0027375;Mjos;2008
542;3.446666667;14.60271739;0.000416;Mjos;2009
543;3.073333333;14.86413043;0.050231;Mjos;2010
544;3.458823529;15.11358696;0.027314167;Mjos;2011
545;3.594117647;13.80217391;0.002744167;Mjos;2012
546;4.1;15.18532609;0.012035;Mjos;2013
547;0.569;16.10815217;0.000812581;Mjos;2014
548;10.5;21.14239;0.0861759;Garda;1995
549;11.65503;21.26087;0.1787176;Garda;1996
550;9.96896;20.80217;0.0514798;Garda;1997
551;10.4806;22.48152;0.1197745;Garda;1998
552;13.21702;21.44699;0.1574467;Garda;1999
553;12.79841;21.56304;0.1545029;Garda;2000
554;10.74137684;22.12174;0.1316836;Garda;2001
555;15.00776;21.81413;0.2376664;Garda;2002
556;10.97672;24.99674;0.1984534;Garda;2003
557;16.37204;22.16304;0.1300957;Garda;2004
558;17.69373;22.05326;0.4220263;Garda;2005
559;17.62786;22.09457;0.1494658;Garda;2006
560;6.67443;22.2337;0.2422521;Garda;2007
561;11.11821;22.43913;0.2088268;Garda;2008
562;13.12908;23.33043;0.2268317;Garda;2009
563;14.51412;22.82283;0.1073076;Garda;2010
564;12.14913;22.1837;0.2107519;Garda;2011
565;13.85308;22.79239;0.2524247;Garda;2012
566;15.2084;22.2587;0.1793906;Garda;2013
582;16.33788889;15.18319395;1.70155;Nbas;1990
583;15.13555556;14.92632417;0.01685;Nbas;1991
584;14.12333333;15.20121466;0.25053;Nbas;1992
585;14.31333333;14.06999204;0.00743;Nbas;1993
586;13.69777778;14.75667065;0.37897;Nbas;1994
587;14.20444444;16.01831939;2.98057;Nbas;1995
588;16.66666667;14.82726006;0.40823;Nbas;1996
589;12.19777778;15.49950219;0.86231;Nbas;1997
590;13.41;14.05953803;0.24731;Nbas;1998
591;10.69944444;14.41666667;2.28231;Nbas;1999
592;12.06722222;14.03454799;2.15228;Nbas;2000
593;13.91;14.553863;1.9697;Nbas;2001
594;14.22777778;14.35045798;15.37026;Nbas;2002
595;15.91055556;15.53544405;38.28407;Nbas;2003
597;14.03888889;15.01363998;0;Nbas;2005
602;9.973888889;14.85792513;0;Nbas;2010
607;28.99322222;15.18319395;0.16716;Sbas;1990
608;29.24944444;14.92632417;0.00881;Sbas;1991
609;28.81666667;15.20121466;0.13213;Sbas;1992
610;19.62333333;14.06999204;0.02694;Sbas;1993
611;19.27111111;14.75667065;0.30595;Sbas;1994
612;17.31888889;16.01831939;2.85162;Sbas;1995
613;25.21;14.82726006;0.19734;Sbas;1996
614;17.37111111;15.49950219;0.23471;Sbas;1997
615;21.62055556;14.05953803;0.11529;Sbas;1998
616;14.45333333;14.41666667;1.9652;Sbas;1999
617;12.87611111;14.03454799;2.79864;Sbas;2000
618;27.80277778;14.553863;1.01702;Sbas;2001
619;18.13888889;14.35045798;1.61784;Sbas;2002
620;24.89222222;15.53544405;70.4598;Sbas;2003
622;18.33333333;15.01363998;0;Sbas;2005
627;11.61555556;14.85792513;0;Sbas;2010
632;24.40866667;15.18319395;1.1735;Esth;1990
633;33.47277778;14.92632417;1.12747;Esth;1991
634;23.75;15.20121466;0.59544;Esth;1992
635;28.12;14.06999204;0.71293;Esth;1993
636;23.73555556;14.75667065;0.85489;Esth;1994
637;30.49555556;16.01831939;0.55074;Esth;1995
638;30.755;14.82726006;1.1165;Esth;1996
639;28.66444444;15.49950219;0.34292;Esth;1997
640;31.27222222;14.05953803;0.78873;Esth;1998
641;36.25611111;14.41666667;2.42477;Esth;1999
642;20.96444444;14.03454799;1.06351;Esth;2000
643;23.97777778;14.553863;13.21731;Esth;2001
644;27.92777778;14.35045798;1.5093;Esth;2002
645;22.43666667;15.53544405;8.7055;Esth;2003
646;26.68111111;14.76214656;4.16221;Esth;2004
647;24.4;15.01363998;3.93811;Esth;2005
648;30.07222222;15.72570689;2.2541;Esth;2006
649;31.00555556;14.1281362;1.26475;Esth;2007
650;26.55555556;14.98307447;0.58732;Esth;2008
651;22.6;14.93787336;1.63179;Esth;2009
652;16.54444444;14.85792513;0.62176;Esth;2010
653;20.85555556;13.41089207;8.80064;Esth;2011
654;26.38333333;13.77409399;0.84307;Esth;2012
655;7.283333333;15.40083632;0.95948;Esth;2013
656;10.94444444;14.71246515;4.91623;Esth;2014
657;34.98533333;15.18319395;0.76574;Blel;1990
658;39.27611111;14.92632417;0.24291;Blel;1991
659;26.15666667;15.20121466;1.38512;Blel;1992
660;26.34666667;14.06999204;0.10454;Blel;1993
661;26.41333333;14.75667065;0.48218;Blel;1994
662;23.89777778;16.01831939;0.59311;Blel;1995
663;26.97833333;14.82726006;0.73662;Blel;1996
