SampleID;x1;x2 ;y ;RandomEffect
ATENNS615;1;1;0;MGR
ATERLA519;1;1;0;MGR
ATGAIL957;1;1;0;MGR
ATSCHA561;1;1;0;MGR
CH_000240;1;1;0;HWS
CH_000265;1;1;0;MGR
CH_000623;1;1;0;MGR
CH_000626;1;1;0;MGR
CH_000627;1;1;0;MGR
CH_000718;1;1;0;MGR
DESR0600;1;1;0;MGR
ES_07_0009;1;1;0;HWS
ES_32_0003;1;1;0;HWS
ES_32_0004;1;1;0;HWS
ES_32_0005;1;1;0;HWS
ES_32_0009;1;1;0;HWS
ES_32_0010;1;1;0;HWS
ES_32_0014;1;1;0;HWS
ES_32_0015;1;1;0;HWS
ES_34_0011;1;1;0;HWS
ES_34_0012;1;1;0;HWS
ES_35_0014;1;1;0;HWS
ES_35_0036;1;1;0;HWS
ES_35_0055;1;1;0;HWS
ES_35_0058;1;1;0;HWS
ES_35_0090;1;1;0;MES
ES_35_0180;1;1;0;HWS
ES_35_0190;1;1;0;HWS
ES_35_0199;1;1;0;HWS
ES_35_0200;1;1;0;HWS
ES_35_0201;1;1;0;HWS
ES_35_0202;1;1;0;HWS
ES_35_0205;1;1;0;HWS
ES_35_0213;1;1;0;HWS
ES_35_0257;1;1;0;HWS
ES_35_0259;1;1;0;HWS
ES_35_0269;1;1;0;HWS
ES_35_0270;1;1;0;HWS
ES_35_0274;1;1;0;HWS
ES_35_0280;1;1;0;HWS
ES_35_0300;1;1;0;HWS
ES_35_0301;1;1;0;HWS
ES_35_0302;1;1;0;HWS
ES_35_0303;1;1;0;HWS
ES_35_0304;1;1;0;HWS
ES_35_0305;1;1;0;HWS
ES_35_0311;1;1;0;HWS
ES_35_0312;1;1;0;HWS
ES_35_0314;1;1;0;HWS
ES_35_0327;1;1;0;HWS
ES_35_0331;1;1;0;HWS
ES_35_0333;1;1;0;HWS
ES_35_0334;1;1;0;HWS
ES_35_0337;1;1;0;HWS
ES_35_0338;1;1;0;HWS
ES_35_0341;1;1;0;HWS
ES_35_0342;1;1;0;HWS
ES_35_0344;1;1;0;HWS
ES_35_0353;1;1;0;HWS
ES_35_0409;1;1;0;HWS
ES_35_0410;1;1;0;HWS
ES_35_0414;1;1;0;HWS
ES_35_0421;1;1;0;HWS
ES_35_0422;1;1;0;HWS
ES_35_0423;1;1;0;HWS
ES_35_0428;1;1;0;HWS
ES_35_0451;1;1;0;MES
ES_35_0476;1;1;0;HWS
ES_35_0484;1;1;0;HWS
ES_35_0498;1;1;0;HWS
ES_35_0510;1;1;0;HWS
ES_35_0512;1;1;0;HWS
ES_35_0515;1;1;0;HWS
ES_35_0531;1;1;0;HWS
ES_35_0533;1;1;0;HWS
ES_35_0540;1;1;0;HWS
ES_35_0544;1;1;0;HWS
ES_35_0546;1;1;0;HWS
ES_35_0550;1;1;0;HWS
ES_35_0573;1;1;0;MES
ES_35_0587;1;1;0;HWS
ES_35_0590;1;1;0;HWS
ES_35_0602;1;1;0;HWS
ES_35_0678;1;1;0;MES
ES_35_0756;1;1;0;HWS
ES_35_0763;1;1;0;HWS
ES_35_0769;1;1;0;HWS
ES_35_0838;1;1;0;HWS
ES_35_0840;1;1;0;HWS
ES_35_0851;1;1;0;HWS
ES_35_0859;1;1;0;HWS
ES_35_0905;1;1;0;HWS
ES_35_1147;1;1;0;HWS
ES_35_1155;1;1;0;HWS
ES_35_1540;1;1;0;HWS
ES_35_1572;1;1;0;MES
ES_35_1605;1;1;0;MES
ES_35_1626;1;1;0;MES
ES_35_1630;1;1;0;HWS
ES_35_1666;1;1;0;HWS
ES_35_1673;1;1;0;HWS
ES_35_1676;1;1;0;HWS
ES_35_1681;1;1;0;MES
ES_35_1683;1;1;0;HWS
ES_35_1686;1;1;0;HWS
ES_35_1690;1;1;0;HWS
ES_35_1697;1;1;0;HWS
ES_35_1704;1;1;0;HWS
ES_35_1753;1;1;0;HWS
ES_35_1775;1;1;0;MES
FR0268###2;1;1;0;HWS
FR0302###9;1;1;0;MGR
FR0395###2;1;1;0;MGR
FR0407###3;1;1;0;HWS
FR04220036;1;1;0;MGR
FR04220070;1;1;0;MGR
FR04220096;1;1;0;MGR
FR04220113;1;1;0;MGR
FR04430032;1;1;0;MGR
FR04610156;1;1;0;MGR
FR0463###4;1;1;0;MGR
FR04630001;1;1;0;MGR
FR0487###1;1;1;0;MGR
FR04870020;1;1;0;MGR
FR05091001;1;1;0;HWS
FR05092001;1;1;0;HWS
FR05122004;1;1;0;MGR
FR0519###1;1;1;0;MGR
FR0519###2;1;1;0;MGR
FR0519###4;1;1;0;MGR
FR05190013;1;1;0;MGR
FR05190015;1;1;0;MGR
FR05300004;1;1;0;MGR
FR05300005;1;1;0;HWS
FR05300006;1;1;0;HWS
FR05300007;1;1;0;HWS
FR05311002;1;1;0;HWS
FR05402003;1;1;0;MGR
FR05462001;1;1;0;MGR
FR05462002;1;1;0;MGR
FR05462003;1;1;0;MGR
FR0548###1;1;1;0;MGR
FR0548###3;1;1;0;HWS
FR0563###1;1;1;0;MGR
FR0601###2;1;1;0;MGR
FR0601###4;1;1;0;MGR
FR06010085;1;1;0;MGR
FR06040029;1;1;0;HWS
FR06050012;1;1;0;MGR
FR06340011;1;1;0;MGR
FR06340013;1;1;0;MGR
FR06340052;1;1;0;MGR
FR06660004;1;1;0;HWS
FR06660006;1;1;0;HWS
FR06660031;1;1;0;HWS
FR06690201;1;1;0;MGR
IT_00070022VR;1;1;0;MGR
IT_00070042VI;1;1;0;HWS
IT_00800123VI;1;1;0;HWS
IT_00800377VI;1;1;0;MGR
IT_03920045UD;1;1;0;MGR
