SampleID;x1;x2;y;RandomEffect; 
2;110.875;0.556754625;0;Typ 14;
3;25.15;0.56378671;0;Typ 14;
4;59;0.96651416;0;Typ 14;
5;60;0.96651416;0;Typ 14;
6;45;0.959002419;0;Typ 14;
7;28;0.58116973;0;Typ 14;
8;59.5;0.58116973;0;Typ 14;
9;61.75;0.959002419;0;Typ 14;
10;31;0.58116973;0;Typ 14;
11;78.5;0.599724244;0;Typ 14;
12;78.5;0.599724244;0;Typ 14;
13;57;0.857038761;0;Typ 14;
14;49.7;0.857038761;0;Typ 14;
16;154;0.846298536;0;Typ 14;
18;20;0.846298536;0;Typ 14;
21;43.5;0.846298536;0;Typ 14;
23;70.72;0.766189595;11;Typ 14;
26;32;0.846298536;0;Typ 14;
28;62.5;0.737044563;0;Typ 14;
29;31.666667;0.766189595;0;Typ 14;
30;21.375;0.779488608;0;Typ 14;
31;25.325;0.737044563;0;Typ 14;
32;25.325;0.737044563;0;Typ 14;
33;28.725;0.737044563;0;Typ 14;
34;28.725;0.737044563;0;Typ 14;
38;55.06666667;0.766189595;4;Typ 15;
41;100.3666667;0.80905965;7;Typ 15;
42;101.4;0.98164955;0;Typ 15;
48;199.5;0.846298536;0;Typ 15_gross;
49;230.75;0.846298536;0;Typ 15_gross;
53;299.25;0.826810689;0;Typ 15_gross;
56;86.46;0.800952929;0;Typ 15_gross;
57;96.34;0.80905965;7;Typ 15_gross;
58;80.05;0.800952929;0;Typ 15_gross;
62;123.2;0.934119224;0;Typ 16;
63;38.925;0.900026694;0;Typ 16;
64;55.675;0.900026694;0;Typ 16;
65;57.55;0.900026694;0;Typ 16;
66;56.65;0.869060443;0;Typ 17;
67;49.8;0.869060443;0;Typ 17;
71;54;0.98164955;0;Typ 18;
72;50;0.98164955;0;Typ 18;
73;38.4;0.846298536;0;Typ 18;
