SampleID;x1;x2;y; 
1;0.578333333;1.776296115;0.662578549;
2;0.42;1.776296115;0.751452538;
3;2.052;1.972680981;0.612158075;
4;3.05;2.193852144;0.870041452;
5;4.745;2.193852144;0.726499364;
6;2.595;1.900019725;0.513361419;
7;2.14;1.900019725;0.572936657;
8;1.67;1.852964082;0.395917941;
9;1.82;1.852964082;0.31664192;
10;1.316666667;1.797202187;0.780826347;
11;3.5;2.247536489;0.534013024;
12;3.81;2.247536489;0.448464483;
13;0.865;1.913852118;0.558884825;
14;0.705;1.913852118;0.461150871;
15;5.086666667;2.02712274;0.570981655;
16;4.323333333;2.02712274;0.779591666;
17;1.592;1.662313712;0.820606244;
18;0.67;1.662313712;0.63141963;
19;0.678;1.662313712;0.877734083;
20;6.875;2.186758045;0.640973897;
21;11.6;2.186758045;0.493533385;
22;4.79;1.894569062;0.30286017;
23;1.968333333;1.71676679;0.917523617;
24;1.526666667;1.71676679;1.015454589;
25;0.438;1.389771945;0.784043953;
26;0.38;1.389771945;0.953772148;
27;2.2;1.897459174;0.786573869;
28;2.272;1.897459174;0.609318331;
29;2.768571429;1.897459174;0.53047914;
30;0.968333333;1.765633565;0.766343251;
31;0.723333333;1.765633565;0.936411189;
32;0.895;1.765633565;0.971836429;
33;12.162;2.398005718;0.567098435;
34;4.273333333;1.437283162;0.506736416;
35;2.736;1.437283162;0.573466603;
36;3.808333333;1.437283162;0.486146719;
37;0.37;1.488450134;0.717350117;
38;0.31;1.488450134;0.838292097;
39;0.71525;1.488450134;0.962796735;
40;7.4;2.225083785;0.286428412;
41;6.641666667;2.225083785;0.46958483;
42;0.863333333;1.687501896;0.947973632;
43;0.8075;1.687501896;0.873975056;
44;1.795;2.077040355;0.659378227;
45;1.428333333;1.966683677;0.497718402;
46;1.49;1.924263019;0.433099072;
47;1.1;1.924263019;0.599262091;
48;3.306666667;1.838297095;0.376702402;
49;4.575;3.355019019;0.527133893;
50;6.655;3.355019019;0.851464294;
51;1.735;2.057514252;0.565436479;
52;1.47;2.057514252;0.745092838;
53;10.385;3.154050356;0.42280355;
54;4.26;3.154050356;0.386224715;
55;6.638333333;2.165580932;0.374026923;
56;1.656666667;1.997658521;0.490850707;
57;1.175;1.997658521;1.00151967;
58;2.006666667;1.997658521;0.526248674;
59;0.51;1.596087974;0.902820324;
60;9.93;3.401156426;0.586173259;
61;9.095;3.401156426;0.682863882;
62;0.631666667;3.879225309;0.709346696;
63;2.576;3.879225309;0.339543049;
64;6.74;2.328915638;0.394544045;
65;8.525;2.328915638;0.413649654;
66;2.676666667;2.398332991;0.297522748;
67;3.258333333;2.398332991;0.371556409;
68;10.52166667;2.46940267;0.607025794;
69;7.901666667;2.46940267;0.587415702;
70;1.331666667;4.380738923;0.410852616;
71;7.73;4.380738923;0.429146591;
72;1.16;2.154618121;0.34006558;
73;0.975;2.154618121;0.650617115;
74;0.423333333;1.466653226;0.867368423;
75;0.407142857;1.466653226;0.895581606;
76;0.5725;1.466653226;0.924429974;
77;11.19166667;2.436935076;0.700343382;
78;9.044;2.436935076;0.496123915;
79;3.486666667;1.957491294;0.646949953;
80;4.07;2.303304168;0.38600108;
81;1.735;2.303304168;0.844454147;
82;0.568;1.692204304;0.586455778;
83;10.3;2.963362639;0.846796579;
84;10.45833333;2.963362639;0.992175503;
85;7.2125;1.915114759;0.566333339;
86;11.84;2.05328328;0.451846903;
87;10.40666667;2.05328328;0.387116414;
88;2.65;1.651457632;0.595876542;
89;2.705;1.651457632;0.509545878;
90;1.195;1.676067;0.81669505;
91;8.178333333;3.487776163;0.775789503;
92;8.918333333;2.97390628;0.94045094;
93;3.335;2.008000757;0.551636686;
94;3.505;2.008000757;0.423840382;
95;5.3;1.721038713;0.60096071;
96;6.385;1.721038713;0.624733166;
97;2.1;1.868219907;0.613458528;
98;2.035;1.868219907;0.677099349;
99;2.046;2.416361114;0.553852036;
100;2.56;2.416361114;0.453100906;
101;0.448333333;1.424697375;0.650391967;
102;0.412;1.424697375;0.644548054;
103;7.588;2.346149504;0.483456697;
104;5.462;2.274259819;0.249897626;
105;6.712857143;2.274259819;0.354874271;
106;11.01;2.321358553;0.609188248;
107;19;2.321358553;0.534588931;
108;0.467142857;1.528167438;0.687905865;
109;1.812;2.504789352;0.712545242;
110;1.72;2.504789352;0.652056005;
111;3.16;3.372448253;0.628219614;
112;0.201666667;1.800811725;0.975312954;
113;0.1;1.800811725;1.033096017;
114;0.1;1.800811725;1.04595541;
115;0.201666667;1.800811725;0.936103427;
116;0.292;2.121160128;0.920986456;
117;0.148571429;1.581654955;0.937441711;
118;0.292;2.121160128;1.062696946;
119;0.325;2.121160128;1.103571707;
120;3.96;2.477148484;0.246332973;
121;5.196;4.374012773;0.442796831;
122;4.07;4.374012773;0.683053022;
123;1.69;2.129146919;0.379854812;
124;1.49;2.129146919;0.370097218;
125;0.771666667;1.772359792;0.853665078;
126;6.313333333;2.247584801;0.304648065;
127;10.48;2.247584801;0.485103685;
128;6.798;2.031794468;0.467919776;
129;3.375;2.420119463;0.269299301;
130;2.41;2.420119463;0.182818837;
131;2.811666667;2.191649042;0.584703978;
132;8.11;2.191649042;0.473471147;
133;10.96;2.174444595;0.259513707;
134;8.975;2.174444595;0.47720897;
135;5.14;2.258840906;0.641263061;
136;3.955;2.258840906;0.309145575;
137;10.514;2.684361871;0.5252765;
138;3.445;2.013100262;0.616586368;
139;2.76;2.013100262;0.559798415;
140;1.875714286;2.16149205;0.457062301;
141;1.388333333;2.16149205;0.710791533;
142;1.754444444;2.087062084;0.412009935;
143;6.05;2.087062084;0.424046419;
144;5.538;2.379067287;0.416004403;
145;8.56;2.504206941;0.251154557;
146;13.51;2.504206941;0.381123669;
147;12.15666667;2.347290496;0.299769111;
148;9.986666667;2.347290496;0.423163837;
149;6.225;3.498959294;0.539840653;
150;6.44;3.498959294;0.79688039;
151;1.5572;2.958870857;0.645460327;
152;1.799090909;2.958870857;0.768608766;
153;1.456071429;2.958870857;0.726100614;
154;2.018571429;2.958870857;0.729370472;
155;2.545;2.128789147;0.459731595;
156;2.403333333;2.680550963;0.845701885;
157;1.776666667;2.680550963;0.814836642;
158;3.165;2.418038886;0.611884861;
159;3.395;2.418038886;0.483757871;
160;1.9;2.256568555;0.598744372;
161;1.59;2.256568555;0.601881707;
162;0.61;2.369870247;0.4691778;
163;0.76;2.369870247;0.413625235;
164;0.118333333;1.620982246;0.718498845;
165;0.125;1.620982246;0.64037179;
166;5.888571429;2.271219565;0.483702725;
167;1.615;2.319120706;0.511107272;
168;0.295;1.975107997;0.832976176;
169;0.365;1.975107997;0.906229557;
170;0.273333333;1.77585375;0.81277244;
171;0.316666667;1.77585375;0.920444848;
172;1.758;2.088365099;0.926077147;
173;1.568333333;2.088365099;0.886244985;
174;1.275;2.088365099;0.810254742;
175;0.485;2.060731247;0.967445225;
176;0.92;2.060731247;0.985556906;
177;19.686;1.964811473;0.609611158;
178;14.08;1.964811473;0.365989892;
179;0.926666667;1.772331639;0.688727403;
180;1.23;1.772331639;0.80841031;
181;0.305;1.549719055;0.856623468;
182;0.49;1.549719055;0.920047562;
183;1.375;2.014619155;0.882154652;
184;1.81;2.014619155;0.920882687;
185;1.385;2.014619155;0.459901349;
186;1.304;2.273757447;0.430504883;
187;1.69;2.273757447;0.533745043;
188;2.561428571;2.273757447;0.736354436;
189;2.276666667;2.483895041;0.70696524;
190;3.392;2.483895041;0.829398541;
191;2.58;2.483895041;0.879676066;
192;1.39;2.428303221;0.678359806;
193;1.34;2.428303221;0.394036596;
194;1.496666667;2.416822119;0.945564347;
195;1.57;2.416822119;1.008958322;
196;0.693333333;2.20402094;0.679051268;
197;0.765;2.20402094;0.72386172;
198;2.848333333;2.23579365;0.67924806;
199;3.458;2.23579365;0.555836464;
200;0.815;2.665206852;0.728336937;
201;0.95;2.665206852;0.721707394;
202;0.506666667;1.94839561;0.833855673;
203;0.1;1.79744373;1.000932607;
204;1.37;2.207191947;0.327073732;
205;1.641666667;2.207191947;0.628849651;
206;2.608333333;1.436910941;0.806464187;
207;2.87;1.436910941;0.732423029;
208;2.82;1.436910941;0.322598048;
209;3.065;1.436910941;0.57200944;
210;4.55;1.899368261;0.863239137;
211;0.45;1.507330745;0.839493243;
212;0.786666667;1.507330745;0.718371023;
213;0.637142857;1.507330745;0.976213488;
214;0.462;1.507330745;1.088976974;
215;0.13125;1.517006342;0.883656908;
216;0.143333333;1.517006342;1.007710032;
217;0.198333333;1.517006342;0.927588619;
218;0.11625;1.46443704;0.992240999;
219;0.131666667;1.5042226;0.86655561;
220;0.1;1.5042226;0.850592564;
221;0.206666667;1.5042226;0.903300639;
222;0.1;1.445533217;0.933197674;
223;0.1;1.445533217;0.933427477;
224;0.1;1.445533217;0.954782734;
225;1.935;1.866070479;0.920818839;
226;1.475;1.780355553;0.846307549;
227;0.152;1.562096354;1.056154247;
228;0.215;1.562096354;1.060118482;
229;0.1;1.562096354;1.154356323;
230;0.1;1.578519146;0.934788298;
231;0.17;1.578519146;0.969811928;
232;0.1;1.722746207;1.047787143;
233;0.1;1.722746207;1.107625723;
234;0.1;1.722746207;1.03951106;
235;0.1;1.643137289;1.167883915;
236;0.1;1.643137289;1.012172841;
237;0.1;1.643137289;0.834963596;
238;2.933333333;1.985942259;0.550693062;
239;3.006666667;1.985942259;0.335103111;
240;3.166;1.985942259;0.404377732;
241;2.656666667;1.961976246;0.650437824;
242;2.331666667;1.691612979;0.791816698;
243;2.107142857;1.691612979;0.43186077;
244;1.753333333;1.691612979;0.332915985;
245;4.552;3.162828556;0.737240011;
246;6.99;3.162828556;0.547421211;
247;2.79;1.68061768;0.713326524;
248;3.978333333;1.68061768;0.727567115;
249;10.04;1.808431071;0.612934267;
250;8.32;1.808431071;0.819126527;
251;11.65833333;1.849115607;0.977695667;
252;5.0525;1.849115607;0.873262901;
253;5.211666667;2.068569904;0.694664366;
254;5.161666667;2.068569904;0.54530167;
255;1.87;1.914418801;0.772331607;
256;2.835;2.029921105;0.306569858;
257;2.825;2.029921105;0.33383117;
258;3.1;2.291321979;0.365028455;
259;3.29;2.291321979;0.703823565;
260;3.25;1.779522566;0.765577522;
261;3.496;2.353489654;0.39080755;
262;1.74;2.153769618;0.557084599;
263;3.563333333;2.153769618;0.533204579;
264;2.223333333;2.153769618;0.744605953;
265;3.507142857;2.266134782;0.545930434;
266;1.715;2.266134782;0.616881421;
267;2.562;2.155628808;0.563787374;
268;6.71;3.867348106;1.092252553;
269;6.628;3.867348106;0.839613106;
270;4.715;2.478221287;0.971953384;
271;2.246666667;2.485758583;0.386811257;
272;7.344;2.617590404;0.319847559;
273;6.091666667;2.928521607;0.629207711;
274;5.915;2.928521607;0.351973211;
275;6.522;2.515985459;0.528374133;
276;5.398333333;1.873830578;0.457757746;
277;6.352857143;1.873830578;0.609628493;
278;5.236;1.873830578;0.433815745;
279;5.358333333;1.644960626;0.92077121;
280;6.077142857;1.644960626;0.386679653;
281;7.844;2.288020865;0.576219859;
282;3.496;1.461730033;0.909958338;
