SampleID;x1;x2;y;RandomEffect ; 
1;50.13636364;13.72173913;3.218148526;1990;
2;54.53333333;13.5076087;6.157828337;1992;
3;34.685;12.38681304;1.808301631;1993;
4;52.2125;13.15543478;16.17662755;1994;
5;29.01818182;14.73423913;18.88560727;1995;
6;33;13.74293478;5.414879897;1996;
7;36.53333333;14.52119565;4.903126615;1997;
8;43.53;12.99891304;3.586311434;1998;
9;54.77777778;13.4125;10.71359971;1999;
10;51.5;14.54129728;1.570103592;2005;
11;38.51428571;15.06477826;1.739257136;2006;
12;24.69488846;13.53100598;1.361555234;2007;
13;26.4766723;14.05380435;0.274261538;2008;
14;31.15271191;14.10869565;3.625023525;2009;
15;41.69259131;14.1625;0.256943542;2010;
16;30.32934591;12.79728261;2.622764082;2011;
17;31.65739711;12.86864022;0.215481485;2012;
18;30.81554725;14.70434783;4.540756917;2013;
19;23.39519759;14.44782609;1.020705436;2014;
